2016/12/19,24.9,26.4,28.4
2016/12/12,24.6,26.1,28.1
2016/12/5,23.6,25.1,27.1
2016/11/28,23.3,24.8,26.8
2016/11/21,22.6,24.1,26.1
2016/11/14,22.5,24,26
2016/11/7,22.8,24.3,26.3
2016/10/31,23.8,25.3,27.3
2016/10/17,24,25.5,27.5
2016/10/10,23.8,25.3,27.3
2016/10/3,22.7,24.2,26.2
2016/9/26,22.6,24.1,26.1
2016/9/19,22.7,24.2,26.2
2016/9/5,22.9,24.4,26.4
2016/8/29,23.4,24.9,26.9
2016/8/22,23.3,24.8,26.8
2016/8/15,22.2,23.7,25.7
2016/8/8,21.8,23.3,25.3
2016/8/1,22.1,23.6,25.6
2016/7/18,22.7,24.2,26.2
2016/7/11,23.1,24.6,26.6
2016/7/4,23.4,24.9,26.9
2016/6/27,23.6,25.1,27.1
2016/6/20,23.4,24.9,26.9
2016/6/13,23.9,25.4,27.4
2016/5/23,23.6,25.1,27.1
2016/5/16,22.9,24.4,26.4
2016/5/2,22.6,24.1,26.1
2016/4/25,22.1,23.6,25.6
2016/4/18,22,23.5,25.5
2016/4/11,20.9,22.4,24.4
2016/4/4,21.1,22.6,24.6
2016/3/28,21.4,22.9,24.9
2016/3/21,21.2,22.7,24.7
2016/3/14,21.3,22.8,24.8
2016/3/7,20.4,21.9,23.9
2016/2/22,19.9,21.4,23.4
2016/2/15,19,20.5,22.5
2016/2/8,19.9,21.4,23.4
2016/2/1,19.3,20.8,22.8
2016/1/25,18.3,19.8,21.8
2016/1/18,18.4,19.9,21.9
2016/1/11,19.5,21,23
2015/12/28,19.9,21.4,23.4
2015/12/21,20.1,21.6,23.6
2015/12/14,20.8,22.3,24.3
2015/12/7,21.6,23.1,25.1
2015/11/30,21.7,23.2,25.2
2015/11/23,21.5,23,25
2015/11/16,22.2,23.7,25.7
2015/11/9,22.8,24.3,26.3
2015/10/26,22.6,24.1,26.1
2015/10/19,23.2,24.7,26.7
2015/10/12,23.6,25.1,27.1
2015/9/28,22.8,24.3,26.3
2015/9/21,22.7,24.2,26.2
2015/9/14,23.1,24.6,26.6
2015/9/7,23.4,24.9,26.9
2015/8/31,22.4,23.9,25.9
2015/8/24,23.1,24.6,26.6
2015/8/17,23.4,24.9,26.9
2015/8/10,23.3,24.8,26.8
2015/8/3,24.1,25.6,27.6
2015/7/27,24.5,26,28
2015/7/13,24.7,26.2,28.2
2015/7/6,25.5,27,29
2015/6/29,25.6,27.1,29.1
2015/6/22,25.7,27.2,29.2
2015/6/15,25.9,27.4,29.4
2015/6/8,25.7,27.2,29.2
2015/6/1,25.6,27.1,29.1
2015/5/25,25.9,27.4,29.4
2015/5/18,26.1,27.6,29.6
2015/5/11,26.3,27.8,29.8
2015/5/4,25.7,27.2,29.2
2015/4/27,25.5,27,29
2015/4/20,25.2,26.7,28.7
2015/4/13,24.4,25.9,27.9
2015/4/6,24.1,25.6,27.6
2015/3/30,24.2,25.7,27.7
2015/3/23,23.7,25.2,27.2
2015/3/16,24.5,26,28
2015/3/9,25.2,26.7,28.7
2015/3/2,25,26.5,28.5
2015/2/23,25.3,26.8,28.8
2015/2/16,24.5,26,28
2015/2/9,24,25.5,27.5
2015/2/2,22.1,23.6,25.6
2015/1/26,22.2,23.7,25.7
2015/1/19,22.1,23.6,25.6
2015/1/12,23.1,24.6,26.6
2015/1/5,24.3,25.8,27.8
2014/12/29,25,26.5,28.5
2014/12/22,24.9,26.4,28.4
2014/12/15,25.9,27.4,29.4
2014/12/8,26.9,28.4,30.4
2014/12/1,28.1,29.6,31.6
2014/11/24,28.3,29.8,31.8
2014/11/17,28.7,30.2,32.2
2014/11/10,29.2,30.7,32.7
2014/10/27,29.8,31.3,33.3
2014/10/20,30,31.5,33.5
2014/10/13,30.9,32.4,34.4
2014/10/6,31.5,33,35
2014/9/29,31.7,33.2,35.2
2014/9/22,31.9,33.4,35.4
2014/9/15,32,33.5,35.5
2014/9/8,32.5,34,36
2014/9/1,32.7,34.2,36.2
2014/8/25,32.5,34,36
2014/8/18,32.8,34.3,36.3
2014/8/11,33.1,34.6,36.6
2014/8/4,33.4,34.9,36.9
2014/7/28,33.5,35,37
2014/7/21,33.4,34.9,36.9
2014/7/14,33.6,35.1,37.1
2014/7/7,34,35.5,37.5
2014/6/30,34.4,35.9,37.9
2014/6/23,34.5,36,38
2014/6/16,33.9,35.4,37.4
2014/6/9,33.7,35.2,37.2
2014/6/2,33.9,35.4,37.4
2014/5/26,34,35.5,37.5
2014/5/19,33.8,35.3,37.3
2014/5/12,33.5,35,37
2014/5/5,33.7,35.2,37.2
2014/4/28,33.9,35.4,37.4
2014/4/21,33.8,35.3,37.3
2014/4/7,33.4,34.9,36.9
2014/3/31,33.7,35.2,37.2
2014/3/17,33.6,35.1,37.1
2014/3/3,33.9,35.4,37.4
2014/2/24,34,35.5,37.5
2014/2/17,33.8,35.3,37.3
2014/2/10,33.4,34.9,36.9
2014/1/27,33.7,35.2,37.2
2014/1/20,33.4,34.9,36.9
2014/1/13,33.5,35,37
2014/1/6,33.9,35.4,37.4
2013/12/30,34.3,35.8,37.8
2013/12/23,33.8,35.3,37.3
2013/12/16,33.6,35.1,37.1
2013/12/2,33.9,35.4,37.4
2013/11/25,33.5,35,37
2013/11/18,33.2,34.7,36.7
2013/11/11,32.9,34.4,36.4
2013/10/28,33.4,34.9,36.9
2013/10/14,33.6,35.1,37.1
2013/10/7,33.3,34.8,36.8
2013/9/30,33.5,35,37
2013/9/23,33.9,35.4,37.4
2013/9/16,34.2,35.7,37.7
2013/9/9,34.5,36,38
2013/9/2,34.7,36.2,38.2
2013/8/26,34,35.5,37.5
2013/8/19,33.8,35.3,37.3
2013/8/12,33.5,35,37
2013/8/5,33.6,35.1,37.1
2013/7/22,33.5,35,37
2013/7/15,33.4,34.9,36.9
2013/7/8,32.9,34.4,36.4
2013/7/1,32.5,34,36
2013/6/24,33,34.5,36.5
2013/6/17,32.8,34.3,36.3
2013/6/3,32.5,34,36
2013/5/13,32.6,34.1,36.1
2013/4/29,32.3,33.8,35.8
2013/4/22,32,33.5,35.5
2013/4/15,33,34.5,36.5
2013/4/8,33.6,35.1,37.1
2013/4/1,33.5,35,37
2013/3/25,33.3,34.8,36.8
2013/3/18,33.4,34.9,36.9
2013/3/11,33.5,35,37
2013/3/4,33.9,35.4,37.4
2013/2/25,34.5,36,38
2013/2/18,34.9,36.4,38.4
2013/2/11,34.6,36.1,38.1
